"name","lat","lng","address","detail_info"
"沪林百货店",31.254764,121.413221,"南石四路与曹杨路交叉口西50米","购物"
"好运百货店",31.254646,121.413008,"南石四路54","购物"
"荣芳杂货店(怒江路)",31.242578,121.404604,"上海市普陀区怒江路651弄-1-～26号","购物;便利店"
"锄禾生鲜超市",31.248624,121.39911,"上海市普陀区梅岭北路1248号","购物;超市"
"者仪杂货店",31.254733,121.413436,"南石一路与南石四路交叉口东南角","购物"
"真如古镇生鲜超市",31.253569,121.408321,"南大街32-2号1-6室","购物;超市"
"鲜果多水果连锁超市",31.244554,121.407434,"普陀区梅川路157号（杨柳青路口）","购物;超市"
"华诚果业",31.24579,121.398842,"梅川路937号","购物;超市"
"苏食肉品生鲜超市(芝川路店)",31.263275,121.407585,"芝川路196号","购物;超市"
"洋溢惠民生鲜超市(枣阳店)",31.241483,121.410667,"枣阳路182号2幢1层","购物;超市"
"惠乐生鲜超市",31.248387,121.400146,"梅岭北路1196号","购物;超市"
"宏光百货店",31.256775,121.409639,"上海市普陀区铜川路994号","购物"
"汇福粮油食品商店",31.238668,121.40571,"怒江路364号","购物"
"四号桥粮油食品店",31.243479,121.389828,"上海市普陀区真北路1143弄-4号","购物"
"蔡记食品店",31.256334,121.391904,"金汤路98号","购物"
"曹杨街道杨柳青食品商店",31.248514,121.398332,"梅岭北路1273-2号","购物"
"建根食品店",31.25635,121.391749,"真光路1700-15号","购物"
"德利食品店",31.244526,121.399211,"上海市普陀区中江路1067弄-2-～54号","购物"
"真岭食品合兴分店",31.25075,121.405296,"武宁路2168-2号","购物"
"家乐福(真北店)",31.265779,121.401399,"上海市普陀区桃浦路328号(桃浦路真北支路)","购物;超市"
"农工商超市(真南路店)",31.275593,121.393089,"真南路708乙(近李子园花苑)","购物;超市"
"华联超市(交通店)",31.274294,121.397889,"交通路4672号","购物;超市"
"华联超市(真金店)",31.273054,121.411527,"上海市普陀区长征镇真金路225号","购物;超市"
"华联超市(NO.505店)",31.265695,121.391201,"上海市普陀区桃浦路873号","购物;超市"
"农工商超市(华灵店)",31.286598,121.408475,"大场镇罗中华86-上海华灵路1949号","购物;超市"
"联华超市(吉曼大厦北)",31.281914,121.40201,"上海市普陀区真北路3271甲-31","购物;超市"
"华联超市(宗文店)",31.266595,121.413136,"上海市普陀区三源路79号","购物;超市"
"大华堂",31.285622,121.412065,"华灵路1885弄5号附近","购物;超市"
"联购超市(NO.165)",31.27998,121.390788,"上海市普陀区真南路822弄-169支弄","购物;超市"
"多又多超市",31.281937,121.40214,"真北路3271甲24","购物;超市"
"联华超市(真武店)",31.282158,121.408097,"武威东路大华颐和华城478弄旁","购物;超市"
"伍缘(子洲路店)",31.265712,121.396422,"桃浦路650号(近子洲路)","购物;超市"
"世纪华联超市(真北店)",31.284348,121.406799,"真北路3508弄-12号附近","购物;超市"
"快乐便利超市",31.281692,121.394527,"上海市普陀区桃浦西路641弄-201支弄-1-～39号","购物;超市"
"上海教育超市(同济四店)",31.277141,121.397995,"真南路500号同济大学","购物;超市"
"华联超市(NO.3128店)",31.266282,121.40568,"桃浦路与兰溪路交叉口旁(近西站)","购物;超市"
"世纪华联超市(华灵路店)",31.286257,121.408149,"上海市宝山区华灵路1900弄312号","购物;超市"
"华联超市(亚薇店)",31.278388,121.408566,"长征镇富水路433号、435号","购物;超市"
"伍缘万泉店",31.277866,121.406077,"万泉路420号(大华·愉景华庭西北)","购物;超市"
"惠民超市",31.278169,121.406844,"富水路517号","购物;超市"
"全家便利店(武威店)",31.282345,121.412664,"武威东路262号(武威东路真金路)","购物;便利店"
"世纪华联NO.1890",31.28567,121.390875,"上海市普陀区真南路822弄521支弄37号","购物;超市"
"联华超市(长辉店)",31.287455,121.406091,"上海市普陀区古浪路64-、66号","购物;超市"
"全佳超市",31.286206,121.4096,"华灵路华氏大药房旁","购物;超市"
"德健超市",31.274089,121.393549,"上海市真南路665号","购物;超市"
"全家便利店(桃浦路店)",31.266261,121.401873,"桃浦路300弄(近真北支路)","购物;便利店"
"全家便利店(真南路店)",31.275148,121.395214,"真南路500号9号楼103室","购物;便利店"
"全佳超市(南李苑小区北)",31.276365,121.389003,"真南路中国移动旁(南李苑小区北)","购物;超市"
"学子超市",31.277179,121.398366,"竹喧楼11号","购物;超市"
"世纪超市(真光路)",31.265956,121.393822,"桃浦路与真光路交叉口旁(近真光路)","购物;超市"
"全家便利店(武威东路NO.02店)",31.281783,121.407589,"武威东路491号","购物;便利店"
"中环超市",31.282278,121.403664,"长征镇北块","购物;超市"
"6+1生活超市",31.281803,121.408265,"武威东路与真北路交叉口东300米","购物;超市"
"华联超市(华灵西商场店)",31.285337,121.411143,"上海市宝山区华灵西路1898号;华灵路1898号","购物;超市"
"悠闲超市",31.27922,121.402231,"上海市普陀区真北路3115-临","购物;超市"
"全家便利店(交通路店)",31.27386,121.397132,"交通路4715号-4719号(近真南路)","购物;便利店"
"好德便利店",31.285683,121.391374,"上海市普陀区真南路822弄-510支弄-9号","购物;便利店"
"洋洋超市",31.285971,121.409007,"华灵路花灵花坊旁","购物;超市"
"鸿达百货超市配货中心",31.270365,121.397815,"真北路2653号新光彩商品建材批发市场9区2号","购物;超市"
"世纪便利超市(真南路)",31.283263,121.391527,"真南路822弄-390支弄-29号","购物;超市"
"迪亚天天(西站店)",31.267548,121.40943,"桃浦路17号","购物;便利店"
"联华超市(中鼎豪园西南)",31.268394,121.395651,"清涧路58号(中鼎豪园西南)","购物;超市"
"好德便利店",31.285445,121.410671,"宝山华灵路1908号","购物;便利店"
"迪亚天天(桃浦店)",31.265834,121.393576,"桃浦路810号101室","购物;便利店"
"好德便利店(桃浦店)",31.265753,121.395484,"普陀区桃浦路724号","购物;便利店"
"好德便利店(三源店)",31.266341,121.412425,"上海市普陀区三源路92号","购物;便利店"
"迪亚天天(古浪店)",31.286586,121.391983,"上海市普陀区真南路822弄-521支弄-78号","购物;便利店"
"好德便利店(西站店)",31.267529,121.409572,"普陀区曹杨路2341号(曹杨路桃浦路)","购物;便利店"
"快客便利店(桃浦路)",31.267339,121.408442,"桃浦路91号(车站新村小区北)","购物;便利店"
"快客便利店(no.5409)",31.263678,121.410789,"芝川路31号","购物;便利店"
"快客便利店(no.5025)",31.272023,121.410971,"上海市普陀区富平路849号","购物;便利店"
"可的便利店(真北店)",31.274,121.400093,"真北路2962号(真北路真北支路)","购物;便利店"
"快客便利店(no.6822)",31.274915,121.39374,"普陀区真南路671号","购物;便利店"
"快客便利店(万里店)",31.273687,121.412293,"上海市普陀区真金路250弄14底层","购物;便利店"
"乔记杂货店",31.282486,121.412793,"武威东路262-1","购物;超市"
"旺达塑料制品批发部",31.270336,121.399014,"真北路2653号新光彩商品建材批发市场7区7号","购物;便利店"
"快客便利店(no.1331)",31.266213,121.390731,"真北支路与桃浦路交叉口旁(近真北路)","购物;便利店"
"点瑞冻品",31.282204,121.40241,"真北路3271弄武威东路","购物;便利店"
"ok便利店",31.282224,121.401312,"真北路武威东路3271弄","购物;便利店"
"快客便利店(no.5017)",31.273007,121.408949,"水泉路竹寿司对面","购物;便利店"
"快客便利店(no.1607)",31.273925,121.39788,"上海市普陀区交通路4654-、4656-、4658号","购物;便利店"
"可的便利店(桃大店)",31.265222,121.40281,"大渡河路2126号(大渡河路桃浦路)","购物;便利店"
"快客便利店(no.5431)",31.266104,121.401582,"桃浦路328号1楼-1号","购物;便利店"
"日用品店",31.266422,121.411374,"上海市普陀区三源路145号","购物;便利店"
"易捷便利店(复地太阳城东)",31.28708,121.408133,"真北路3638号(复地太阳城东)","购物;便利店"
"易捷便利店(真南路)",31.275648,121.389973,"桃浦镇真南路825号","购物;便利店"
"光明便利店",31.273466,121.397931,"真南路500号同济大学侧","购物;便利店"
"兰草烟杂店",31.27341,121.403013,"真南路175号","购物;便利店"
"快客便利店(no.6246)",31.264606,121.393814,"真光路2171","购物;便利店"
"上海鹏发一次性包装劳防用品批发部",31.269261,121.398973,"真北路2653号上海新光彩商品建材批发市场3区17号","购物;便利店"
"超人便利店",31.270379,121.397302,"真如镇街道真北路2653号光彩市场宿舍楼门口","购物;便利店"
"光明便利店(真南路)",31.274802,121.39764,"真南路与交通路交叉口南150米(近真北路)","购物;便利店"
"置辰便利",31.267718,121.396602,"子洲路685号","购物;便利店"
"颐和鲜果园",31.281839,121.407581,"武威东路485","购物;超市"
